1,2,3,4,5,6,8,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328
uic,proid,vilid,prov,dist,comm,hhid,q1,datf,tisf,tief,dnef,tnef,resf,dats,tiss,ties,dnes,tnes,ress,datt,tist,tiet,rest,nint,dint,nsup,dsup,scor,nope,dope,ocor,nent,dent,q2,q3,date,q4m,q4y,q5,q6,q6oth,q7,q7oth,q8,q9,q9oth,q10,q11a,q11b,q12,q42,q42oth,q43,q44,q45,q461,q462,q463,q464,q465,q466,q467,q468,q468oth,q4688,q47,q48,q49,q50,q50oth,q501,q502,q502no,q502in,q51,q52,q53,q53oth,q54,q55a,q55b,q55c,q55d,q55e,q55f,q55g,q55h,q55i,q55j,q56,q56oth,q57,q57oth,q58,q58oth,q59,q59oth,q60,q61a,q61b,q61c,q61d,q61e,q61f,q61g,q61h
P2_V467_2185,P2,V467,Battambang,Koas Krala,Thipakdei,2185,Yes,8-Sep-16,16.48,17.09,,,Completed,,,,,,,,,,,Treng Sokea,8-Sep-16,Chhem Bunthy,8-Sep-16,Yes,,,,Socheat,18-Sep-16,Yes,Yes,8-Sep-16,6,1995,22,Buddhist,,Lower Secondary (7–9),,Married or living together,Primary (1 - 6),,7,3,4,1,Rainwater,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,Flush or pour flush to septic ta,,Observed,Yes,,2185,0,,Put /rinsed into toilet or latri,,No,Yes,0,Yes,Yes,0,0,0,0,0,Yes,Charcoal,,Parquet or polished wood,,Metal,,Wood planks / shingles,,1,Yes,0,Yes,0,0,Yes,0,0
P2_V315_2557,P2,V315,Battambang,Rotonak Mondol,Sdau,2557,Yes,10-Sep-16,11.55,12.25,,,Completed,,,,,,,,,,,Keo Chandararoth,10-Sep-16,Ong Seyha,10-Sep-16,Yes,,,,Socheat,23-Sep-16,Yes,Yes,10-Sep-16,5,1994,22,Buddhist,,Upper Secondary (10–12),,Married or living together,Primary (1 - 6),,3,1,2,1,Piped to yard or plot,,In own dwelling,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,None,Use another household’s latrine,,,,,,0,,Buried,,No,Yes,0,0,Yes,0,0,0,0,0,0,Wood,,Parquet or polished wood,,Metal,,Cardboard,,0,0,0,Yes,0,0,0,0,0
P2_V205_1974,P2,V205,Battambang,Koas Krala,Preah Phos,1974,Yes,9-Sep-16,10.1,11.1,,,Completed,,,,,,,,,,,Och La,9-Sep-16,Chhorn Chanthy,10-Sep-16,Yes,,,,Vannak,17-Sep-16,Yes,Yes,9-Sep-16,8,1988,28,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,7,3,4,3,Tanker truck,,In own dwelling,,"Yes, always",Yes,0,0,0,0,Yes,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",No facility / bush / field,,,,,,0,,Buried,,"Yes, observed card",0,0,0,Yes,0,0,0,0,0,Yes,Wood,,Parquet or polished wood,,Metal,,Wood planks / shingles,,0,0,0,Yes,0,0,0,0,0
P2_V442_3097,P2,V442,Battambang,Sangkae,Ta Pon,3097,Yes,10-Sep-16,16.45,17.13,,,Completed,,,,,,,,,,,Vong Sokny,10-Sep-16,Chhorn Chanthy,11-Sep-16,Yes,,,,Socheat,23-Sep-16,Yes,Yes,10-Sep-16,11,1948,69,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,7,2,5,1,Rainwater,,In own dwelling,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,Flush or pour flush to pit latri,,Observed,Yes,,3097,0,,Put /rinsed into toilet or latri,,"Yes, observed card",Yes,0,Yes,Yes,0,0,Yes,Yes,Yes,0,Charcoal,,Ceramic tiles,,Metal,,Bricks,,0,0,0,Yes,Yes,0,0,0,0
P2_V391_2017,P2,V391,Battambang,Kamrieng,Ta Krei,2017,Yes,7-Sep-16,13.23,13.43,,,Completed,,,,,,,,,,,Sroy Theary,7-Sep-16,Ong Seyha,7-Sep-16,Yes,,,,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,3,1993,23,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,3,1,2,1,"Surface water (river, dam, lake,",,Elsewhere,15,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,No facility / bush / field,,,,,,0,,Buried,,"Yes, observed card",0,0,0,Yes,0,0,0,0,0,Yes,Wood,,Parquet or polished wood,,Metal,,Metal,,0,0,0,0,0,0,0,0,0
P2_V442_3099,P2,V442,Battambang,Sangkae,Ta Pon,3099,Yes,10-Sep-16,14.41,15.23,,,Completed,,,,,,,,,,,Och La,10-Sep-16,Chhorn Chanthy,11-Sep-16,Yes,,,,Socheat,23-Sep-16,Yes,Yes,10-Sep-16,11,1994,23,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,12,6,6,3,Rainwater,,In own yard/plot,,No,0,0,0,0,0,0,0,0,,,"Observed, fixed place",Water is available,None,Flush or pour flush to septic ta,,Observed,Yes,,,0,,Buried,,"Yes, expired card",Yes,0,Yes,Yes,0,0,Yes,0,Yes,0,Wood,,Parquet or polished wood,,Metal,,Wood planks / shingles,,1,0,0,Yes,0,0,0,0,Yes
P2_V43_1571,P2,V43,Battambang,Koas Krala,Chhnal Moan,1571,Yes,7-Sep-16,10.25,10.45,,,Completed,,,,,,,,,,,Phang Pinan,7-Sep-16,Chhor Lyda,9-Sep-16,Yes,,,,Socheat,20-Sep-16,Yes,Yes,7-Sep-16,11,1989,26,Buddhist,,Primary (1 – 6),,Married or living together,Lower Secondary (7-9),,4,2,2,1,"Surface water (river, dam, lake,",,Elsewhere,10,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Use another household’s latrine,,,,,,0,,Other,THROWN INTO FIELD,No,0,0,Yes,Yes,0,0,0,0,0,Yes,Charcoal,,Cement,,Metal,,Metal,,0,0,0,Yes,0,0,0,0,0
P3_V307_5418,P3,V307,Siem Reap,Chi Kraeng,Sangvaeuy,5418,Yes,26-Sep-16,12.54,12.14,,,Completed,,,,,,,,,,,Och La,26-Sep-16,Chhorn Chanthy,27-Sep-16,Yes,Oy Sreymom,28-Sep-16,Yes,Vannak,13-Oct-16,Yes,Yes,26-Sep-16,4,1989,29,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,4,2,2,1,Unprotected dug well,,Elsewhere,5,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, fixed place",Water is available,"Soap or detergent (bar, liquid,",Use another household’s latrine,,,,,,0,,Other,THROWN IN THE FIELD,No,0,0,0,Yes,0,0,0,0,0,0,Wood,,Parquet or polished wood,,Bamboo / thatch / palm leaf,,Wood planks / shingles,,0,0,Yes,0,0,0,0,0,0
P2_V462_1771,P2,V462,Battambang,Koas Krala,Thipakdei,1771,Yes,7-Sep-16,10.01,10.28,,,Completed,,,,,,,,,,,Am Sarath,7-Sep-16,Chhem Bunthy,7-Sep-16,Yes,,,,Socheat,16-Sep-16,Yes,Yes,7-Sep-16,12,1981,35,Buddhist,,Primary (1 – 6),,Married or living together,Primary (1 - 6),,3,2,1,1,Rainwater,,In own yard/plot,,"Yes, always",Yes,0,0,0,0,0,0,0,,No,"Observed, mobile",Water is not available,None,No facility / bush / field,,,,,,0,,Buried,,"Yes, expired card",Yes,0,Yes,0,0,0,0,0,0,0,Wood,,Wood planks,,Metal,,Wood planks / shingles,,1,0,Yes,0,0,0,0,0,0
