position,name,varlab,notes,Values,Code (if relevant)
1,uic,Unique ID Code Questionnaire,,Text,
2,proid,provincial ID,,Text,
3,vilid,village ID,,Text,
4,prov,PROVINCE:,,Text,
5,dist,DISTRICT:,,Text,
6,comm,COMMUNE:,,Text,
7,vill,VILLAGE:,remove- PII,Text,
8,hhid,Householde ID,,Text,
9,q1,Is there a child aged 0 to 24 months living in this household?,,Binary,1-YES; 2-NO
10,resn,NAME OF RESPONDENT:,remove- PII,Text,
11,phon,PHONE NUMBER OF HOUSEHOLD CONTACT,remove- PII,Text,
12,datf,Date first visit,,Text,
13,tisf,Time Start first visit,,Text,
14,tief,Time End first visit,,Text,
15,dnef,Date NEXT SCHEDULED VISIT: first visit,,Text,
16,tnef,Time NEXT SCHEDULED VISIT: first visit,,Text,
17,resf,Result from First Visit,,Coded value,11-COMPLETED; 22-NOT HOME AT TIME OF VISIT; 33-ABSENT FOR DURATION OF STUDY; 44-RESCHEDULED
18,dats,Date Second visit,,Text,
19,tiss,Time Start Second visit,,Text,
20,ties,Time End Second visit,,Text,
21,dnes,Date NEXT SCHEDULED VISIT: Second visit,,Text,
22,tnes,Time NEXT SCHEDULED VISIT: Second visit,,Text,
23,ress,Result from Second Visit,,Coded value,11-COMPLETED; 22-NOT HOME AT TIME OF VISIT; 33-ABSENT FOR DURATION OF STUDY
24,datt,Date third visit,,Text,
25,tist,Time Start third visit,,Text,
26,tiet,Time End third visit,,Text,
27,rest,Result from third Visit,,Coded value,11-COMPLETED
28,nint,Name of Interviewer,,Coded value,12-HAY DAVANN; 20-CHUM SOPHEA; 29-KHAT SREY CHEN; 37-VONG SOKNY
29,dint,Date interview,,Text,
30,nsup,Name of supervisor check,,Coded value,47-CHHEM BUNTHY; 48-CHHORN CHANTHY; 49-ONG SEYHA; 50-CHHOR LYDA
31,dsup,Date of supervisor check,,Text,
32,scor,Supervisor check correct?,,Binary,1-YES; 2-NO
33,nope,Name of Operator check,,Coded value,2-SENG KRISNA; 3-OY SREYMOM; 4-IRENE
34,dope,Date of Operator check,,Text,
35,ocor,Operator check correct?,,Binary,1-YES; 2-NO
36,nent,Name of Data Entry,,Coded value,1-SOKHUM; 2-SOCHEAT; 3-DARA; 4-VANNAK
37,dent,Date of Data entry,,Text,
38,q2,Do you understand and agree to participate in this survey?,,Binary,1-YES; 2-NO
39,q3,"For child 0-24 months,may we weigh and take their height measurement",,Binary,1-YES; 2-NO
40,date,Date of Respondent Sinature,,Text,
41,q4m,In what month were you born?,remove- PII,Text,
42,q4y,In what year were you born?,,Text,
43,q5,How old were you at your last birthday?,,Text,
44,q6,What is your religion?,,Coded value,1-BUDDHIST; 2-MUSLIM; 3-CHRISTIAN; 4-OTHER
45,q6oth,What is your religion? Specify Other,,Text,
46,q7,What is the highest level of school you attended?,,Coded value,1-NEVER ATTENDED SCHOOL; 2-PRIMARY (1-6); 3-LOWER SECONDARY (7-9); 4-UPPER SECONDARY (10-12); 5-HIGHER; 6-OTHER; 88-DON'T KNOW
47,q7oth,What is the highest level of school you attended?specify other,,Text,
48,q8,What is your current marital status?,,Coded value,1-MARRIED OR LIVING TOGETHER; 2-DIVORCED OR SEPARATED; 3-WIDOW; 4-NEVER MARRIED OR NEVER LIVED TOGETHER
49,q9,What is the highest level of school your spouse/partner ever attended?,,Coded value,1-NEVER ATTENDED SCHOOL; 2-PRIMARY (1-6); 3-LOWER SECONDARY (7-9); 4-UPPER SECONDARY (10-12); 5-HIGHER; 6-OTHER; 88-DON'T KNOW
50,q9oth,The highest level of school your partner ever attended specify other,,Text,
51,q10,"How many people current live in HH, who regularly sleep & eat in HH?",,Text,
52,q11a,"Of the people who live in this household,Children under 18 years old",,Text,
53,q11b,"Of the people who live in this household,Adults 18 years or older",,Text,
54,q12,How many children aged 0 to 24 months live in this household?,,Text,
273,q42,What is the main source of drinking water for members of your HH now?,,Coded value,5-PROTECTED DUG WELL; 9-RAINWATER
274,q42oth,The main source of drinking water for members of your HH right now:Other,,Text,
275,q43,Where is that water source located?,,Coded value,1-IN OWN DWELLING; 2-IN OWN YARD/PLOT; 3-ELSEWHERE
276,q44,"How long does it take to go there, get water, and come back?",,Text,
