position,name,varlab,notes,Values,Code (if relevant)
1,uic,Unique ID Code Questionnaire,,Text,
2,proid,provincial ID,,Text,
3,vilid,village ID,,Text,
4,prov,PROVINCE:,,Text,
5,dist,DISTRICT:,,Text,
6,comm,COMMUNE:,,Text,
7,vill,VILLAGE:,remove- PII,Text,
8,hhid,Householde ID,,Text,
38,q2,Do you understand and agree to participate in this survey?,,Binary,1-YES; 2-NO
39,q3,"For child 0-24 months,may we weigh and take their height measurement",,Binary,1-YES; 2-NO
54,q12,How many children aged 0 to 24 months live in this household?,,Numeric,
55,q131,What is the child's name? Child1,remove- PII,Text,
56,q141,Are you (CHILD1 NAME)'s mother?,,Binary,1-YES; 2-NO
57,q151,What is [CHILD1 NAME]'s gender?,,Coded value,1-MALE; 2-FEMALE
58,q161,Was [CHILD1 NAME] ever breastfed?,,BInary,1-YES; 2-NO
59,q171,Is [CHILD1 NAME] still being breastfed?,,BInary,1-YES; 2-NO
60,q181d,birth date:Day,,Text,
61,q181m,birth date:Month,,Text,
62,q181y,birth date: Year,,Text,
63,q181c,CONFIRM WITH BIRTH CERTIFICATE OR YELLOW CARD,,BInary,1-CONFIRMED; 2-NO BIRTH CIRTIFICATE/CARD
64,q191c,What was [CHILD1 NAME]'s weight at birth? Yelow Card,,Numeric,
65,q191r,What was [CHILD1 NAME]'s weight at birth? Recall,,Numeric,
66,chi12,Do you have child 2?,,BInary,1-YES; 2-NO
67,q132,What is the child's name? Child1,,Text,
68,q142,Are you (CHILD1 NAME)'s mother?,,BInary,1-YES; 2-NO
69,q152,What is [CHILD1 NAME]'s gender?,,BInary,1-MALE; 2-FEMALE
70,q162,Was [CHILD1 NAME] ever breastfed?,,BInary,1-YES; 2-NO
71,q172,Is [CHILD1 NAME] still being breastfed?,,BInary,1-YES; 2-NO
72,q182d,birth date:Day,,Text,
73,q182m,birth date:Month,,Text,
74,q182y,birth date: Year,,Text,
75,q182c,CONFIRM WITH BIRTH CERTIFICATE OR YELLOW CARD,,BInary,1-CONFIRMED; 2-NO BIRTH CIRTIFICATE/CARD
76,q192c,What was [CHILD1 NAME]'s weight at birth? Yelow Card,,Numeric,
77,q192r,What was [CHILD1 NAME]'s weight at birth? Recall,,Numeric,
78,chi23,Do you have child 3?,,BInary,1-YES; 2-NO
79,q133,What is the child's name? Child1,remove- PII,Text,
80,q143,Are you (CHILD1 NAME)'s mother?,,BInary,1-YES; 2-NO
81,q153,What is [CHILD1 NAME]'s gender?,,BInary,1-MALE; 2-FEMALE
82,q163,Was [CHILD1 NAME] ever breastfed?,,BInary,1-YES; 2-NO
83,q173,Is [CHILD1 NAME] still being breastfed?,,BInary,1-YES; 2-NO
84,q183d,birth date:Day,remove- PII,Text,
85,q183m,birth date:Month,remove- PII,Text,
86,q183y,birth date: Year,,Text,
87,q183c,CONFIRM WITH BIRTH CERTIFICATE OR YELLOW CARD,,BInary,1-CONFIRMED; 2-NO BIRTH CIRTIFICATE/CARD
88,q193c,What was [CHILD1 NAME]'s weight at birth? Yelow Card,,Numeric,
89,q193r,What was [CHILD1 NAME]'s weight at birth? Recall,,Numeric,
90,chil1,REWRITE CHILD NAME IN THE SAME ORDER,remove- PII,Text,
91,q2011,FIRST TIME: RECORD WEIGHT IN KILOGRAMS: Child 1,,Numeric,
92,q2021,Second TIME: RECORD WEIGHT IN KILOGRAMS: Child 1,,Numeric,
93,q20111m,FIRST TIME: RECORD WEIGHT IN KILOGRAMS: Mother and child1,,Numeric,
94,q20111c,FIRST TIME: RECORD WEIGHT IN KILOGRAMS: Only Mother1,,Numeric,
95,q20211m,Second TIME: RECORD WEIGHT IN KILOGRAMS: Mother and child1,,Numeric,
96,q20211c,Second TIME: RECORD WEIGHT IN KILOGRAMS: Only Mother1,,Numeric,
97,q2111,FIRST TIME: RECORD HEIGHT IN CENTIMETERS: Child 1,,Numeric,
98,q2121,Second TIME: RECORD HEIGHT IN CENTIMETERS: Child 1,,Numeric,
99,q2131,Third TIME: RECORD HEIGHT IN CENTIMETERS: Child 1,,Numeric,
100,chil2,REWRITE CHILD NAME IN THE SAME ORDER,remove- PII,Text,
101,q2012,FIRST TIME: RECORD WEIGHT IN KILOGRAMS: Child 2,,Numeric,
