position,name,varlab,notes,Values,Code (if relevant)
1,start,start time,,,0
2,end,end time,,,0
3,survey_date,Survey date,,,0
4,start_time,survey start time,,,0
5,end_time,survey end time (current time),,,0
6,duration,survey duration,,,0
7,q_a_1,SUPERVISOR NAME,,,0
8,q_a_0,INTERVIEWER NAME,,,0
9,q_a_2,PROVINCE,,,q_a_2
10,q_a_3,DISTRICT,,,q_a_3
11,q_a_4,COMMUNE,,,q_a_4
12,q_a_5,VILLAGE,remove- PII,,q_a_5
13,gps_place,HOUSEHOLD GPS COORDINATES,remove- PII,,0
14,_gps_place_latitude,GPS latitude,remove- PII,,0
15,_gps_place_longitude,GPS longitude,remove- PII,,0
16,_gps_place_altitude,GPS altitute,remove- PII,,0
17,_gps_place_precision,GPS precision (meters),remove- PII,,0
18,q_c1,QC1. Is there a child aged 1 to 28 months living in this household?,,,yesno
23,q_c4,QC4. Do you understand and agree to participate in this study?,,,yesno
24,q_1,Q1. In what month were you born?,remove- PII,,0
25,q_11,Q11. In what year were you born?,,,0
26,q_2,Q2. How old were you at your last birthday?,,,0
27,q_3,Q3. What is your religion?,,,q_3
29,q_4,Q4. What is the highest level of school you attended?,,,q_4
31,q_5,Q5. What is your current marital status?,,,q_5
32,q_6a,Q6a. What is the highest level of school your (spouse/partner) ever attended?,,,q_4
34,q_6b,"Q6.b In the past 24 months, have you lived outside of this commune?",,,yesno
35,q_6c,Q6c. For how​​ many months did you live outside of this commune?,,,0
36,q_7,"Q7. How many people currently live in this household, including yourself, other",,,0
37,q_8_a,Q8.a) Children under 18 years old?,,,0
38,q_8_b,Q8.b) Adults 18 years or older?,,,0
39,q_9,Q9. How many eligible children aged 1 to 28 months live in this household?,,,0
41,q_38,"Q38. (OBSERVE WHETHER SURFACE FOR PREPARING FOOD (CHOPPING, CUTTING, ETC) IS A C",,,q_38
42,q_39,Q39. (OBSERVE WHETHER FOOD PREPARATION SURFACE IS ELEVATED OFF THE FLOOR),,,q_39
43,q_40,Q40. (OBSERVE WHETHER FOOD PREPARATION AREA IS VISIBLY CLEAN OF DIRT.),,,q_40
44,q_41,Q41. (OBSERVE WHETHER THERE ARE FLIES ON FOOD OR ON FOOD PREPARATION AREA),,,q_41
45,q_42,Q42. (OBSERVE WHETHER A HANDWASHING STATION CAN BE FOUND WITHIN 10 METERS OF THE,,,q_42
46,q_43,Q43. Do you clean your cooking utensils before using them?,,,yesno
47,q_44,Q44. What do you clean your cooking utensils with?,,,hyg
48,q_45a,Q45a. Do you clean food preparation surfaces ?,,,yesno
49,q_45b,Q45b. What do you clean the food preparation surfaces with?,,,hyg
50,q_46,Q46. Do you have a container to store food?,,,yesno
51,q_47,Q47. Is the container you use to store food covered? [CONFIRM BY OBSERVATION],,,yesno
52,q_48,Q48. Do you clean the container used for food storage between uses?,,,yesno
53,q_49,Q49. What do you clean it with?,,,hyg
54,q_50,Q50. Do you cook the food until boiling?,,,yesno
56,q_51,Q51. Do you reheat the food before feeding your young child again?,,,yesno
57,q_52,Q52. Do you clean the utensil/s used to feed your young child?,,,yesno
58,q_53,Q53. What do you clean these utensil/s with?,,,hyg
59,q_54,Q54. Do you prepare your young child’s food separately from the other food?,,,q_54
60,q_a,[IS RESPONDENT THE MOTHER OF ANY OF THE CHILDREN AGED 1 TO 28 MONTHS THAT YOU ME,,,yesno
61,q_55,Q55. Are you pregnant now?,,,yesno
62,q_56,Q56. How many months pregnant are you?,,,0
64,q_58,Q58. Have you been pregnant in the past 12 months?,,,yesno
65,q_59,Q59. Did the pregnancy result in the child being born alive?,,,yesno
66,q_60a,Q60. How many total births have you had in your life?,,,0
67,q_60b,Q60b. From those birth how many total children were bron?,,,0
68,q_68a,Q68A. In the last 24 months have you received MULTIPLE MICRONUTRIENT POWDER?,,,yn2
69,q_68b,Q68B.In the last 24 months have you received LOCAL NAME: READY TO USE THERAPEUTI,,,yn2
70,q_68c,Q68C.In the last 24 months have you received LOCAL NAME: READY TO USE SUPPLEMENT,,,yn2
71,q_68d,Q68D.In the last 24 months have you received a voucher or other form of subsidy,,,yn2
76,q_68e,Q68E. In the last 24 months have you received a voucher or other form of subsidy,,,yn2
81,q_68f,Q68F.In the last 24 months have you received a voucher for food basket?,,,yn2
86,q_68b1,Q68B1. In the last 24 months have you enrolled in a CCT program for health and n,,,yesno
94,q_69,"Q69. Do you have your own bank account, Wing account, or other money account?",,,yesno
95,q_70a,Q70A. In the last 24 months have you heard or seen Grow Together campaign messag,,,yn2
96,q_70b,"Q70B. In the last 24 months have you participated in a ""first 1,000 days"" community event?",,,yn2
101,q_70c,"Q70C. In the last 24 months have you participated in a ""first 1,000 days"" caregiver event?",,,yn2
106,q_70d,"Q70D. In the last 24 months have you participated in a “first 1,000 days” villag",,,yn2
111,q_70e,Q70E. In the last 24 months have you participated in a communit activity where V,,,yn2
116,q_70b1,Q70b1. In the last 24 months have you received home health visits from a village,,,yn2
117,q_70c1,Q70c1. Was this visit(s) for you when you were pregnant or for your child’s heal,,,q_70c1
118,q_71,"Q71. In the last 24 months, have you received home garden support by a district",,,yesno
119,q_71b,Q71B. Does your household grow any food at home that you consumption at home?,,,yesno
120,q_71c,Q71C. What do you grow throughout the year?,,,See q_71c1 to q_71c88
121,q_71c1,Q71C1. Ptee (Amaranth),,,yn2
122,q_71c2,Q71C2. Moringa,,,yn2
123,q_71c3,Q71C3. Pumpkin,,,yn2
124,q_71c4,Q71C4. Sweet Potato,,,yn2
125,q_71c5,Q71C5. Long bean,,,yn2
126,q_71c6,Q71C6. Eggplan,,,yn2
127,q_71c7,Q71C7. Jackfruit,,,yn2
